#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  41.8000000    1.5994855648e+01    1.5994855648e+01    1.9632147771e+01    1.5997881372e+01    1.5997881372e+01    1.2388681397e+01
  42.0000000    1.5994653433e+01    1.5994653433e+01    1.9631856277e+01    1.5997882091e+01    1.5997882091e+01    1.2388934480e+01
  42.2000000    1.5994461266e+01    1.5994461266e+01    1.9631558187e+01    1.5997884437e+01    1.5997884437e+01    1.2389167066e+01
  42.4000000    1.5994281155e+01    1.5994281155e+01    1.9631264450e+01    1.5997884417e+01    1.5997884417e+01    1.2389388617e+01
  42.6000000    1.5994114844e+01    1.5994114844e+01    1.9630985947e+01    1.5997877872e+01    1.5997877872e+01    1.2389609033e+01
  42.8000000    1.5993963807e+01    1.5993963807e+01    1.9630732757e+01    1.5997860750e+01    1.5997860750e+01    1.2389837927e+01
  43.0000000    1.5993829191e+01    1.5993829191e+01    1.9630513500e+01    1.5997829409e+01    1.5997829409e+01    1.2390083956e+01
  43.2000000    1.5993711737e+01    1.5993711737e+01    1.9630334811e+01    1.5997780898e+01    1.5997780898e+01    1.2390354282e+01
  43.4000000    1.5993611671e+01    1.5993611671e+01    1.9630200984e+01    1.5997713214e+01    1.5997713214e+01    1.2390654172e+01
  43.6000000    1.5993528590e+01    1.5993528590e+01    1.9630113789e+01    1.5997625482e+01    1.5997625482e+01    1.2390986769e+01
  43.8000000    1.5993461368e+01    1.5993461368e+01    1.9630072477e+01    1.5997518055e+01    1.5997518055e+01    1.2391353024e+01
  44.0000000    1.5993408099e+01    1.5993408099e+01    1.9630073955e+01    1.5997392513e+01    1.5997392513e+01    1.2391751775e+01
  44.2000000    1.5993366107e+01    1.5993366107e+01    1.9630113100e+01    1.5997251555e+01    1.5997251555e+01    1.2392179958e+01
  44.4000000    1.5993332020e+01    1.5993332020e+01    1.9630183177e+01    1.5997098795e+01    1.5997098795e+01    1.2392632909e+01
  44.6000000    1.5993301943e+01    1.5993301943e+01    1.9630276333e+01    1.5996938484e+01    1.5996938484e+01    1.2393104741e+01
  44.8000000    1.5993271684e+01    1.5993271684e+01    1.9630384106e+01    1.5996775167e+01    1.5996775167e+01    1.2393588747e+01
  45.0000000    1.5993237051e+01    1.5993237051e+01    1.9630497923e+01    1.5996613333e+01    1.5996613333e+01    1.2394077823e+01
  45.2000000    1.5993194170e+01    1.5993194170e+01    1.9630609564e+01    1.5996457066e+01    1.5996457066e+01    1.2394564875e+01
  45.4000000    1.5993139797e+01    1.5993139797e+01    1.9630711543e+01    1.5996309758e+01    1.5996309758e+01    1.2395043193e+01
  45.6000000    1.5993071597e+01    1.5993071597e+01    1.9630797421e+01    1.5996173880e+01    1.5996173880e+01    1.2395506784e+01
  45.8000000    1.5992988342e+01    1.5992988342e+01    1.9630862019e+01    1.5996050852e+01    1.5996050852e+01    1.2395950650e+01
  46.0000000    1.5992890025e+01    1.5992890025e+01    1.9630901552e+01    1.5995941014e+01    1.5995941014e+01    1.2396371006e+01
  46.2000000    1.5992777850e+01    1.5992777850e+01    1.9630913680e+01    1.5995843688e+01    1.5995843688e+01    1.2396765417e+01
  46.4000000    1.5992654126e+01    1.5992654126e+01    1.9630897482e+01    1.5995757330e+01    1.5995757330e+01    1.2397132882e+01
  46.6000000    1.5992522055e+01    1.5992522055e+01    1.9630853380e+01    1.5995679739e+01    1.5995679739e+01    1.2397473815e+01
  46.8000000    1.5992385438e+01    1.5992385438e+01    1.9630783005e+01    1.5995608310e+01    1.5995608310e+01    1.2397789978e+01
  47.0000000    1.5992248348e+01    1.5992248348e+01    1.9630689030e+01    1.5995540292e+01    1.5995540292e+01    1.2398084313e+01
  47.2000000    1.5992114773e+01    1.5992114773e+01    1.9630574963e+01    1.5995473027e+01    1.5995473027e+01    1.2398360728e+01
  47.4000000    1.5991988293e+01    1.5991988293e+01    1.9630444925e+01    1.5995404151e+01    1.5995404151e+01    1.2398623816e+01
  47.6000000    1.5991871802e+01    1.5991871802e+01    1.9630303399e+01    1.5995331741e+01    1.5995331741e+01    1.2398878539e+01
  47.8000000    1.5991767301e+01    1.5991767301e+01    1.9630154977e+01    1.5995254395e+01    1.5995254395e+01    1.2399129890e+01
  48.0000000    1.5991675785e+01    1.5991675785e+01    1.9630004100e+01    1.5995171252e+01    1.5995171252e+01    1.2399382562e+01
  48.2000000    1.5991597223e+01    1.5991597223e+01    1.9629854818e+01    1.5995081963e+01    1.5995081963e+01    1.2399640637e+01
  48.4000000    1.5991530625e+01    1.5991530625e+01    1.9629710571e+01    1.5994986613e+01    1.5994986613e+01    1.2399907342e+01
  48.6000000    1.5991474188e+01    1.5991474188e+01    1.9629574015e+01    1.5994885633e+01    1.5994885633e+01    1.2400184862e+01
  48.8000000    1.5991425502e+01    1.5991425502e+01    1.9629446904e+01    1.5994779696e+01    1.5994779696e+01    1.2400474251e+01
  49.0000000    1.5991381789e+01    1.5991381789e+01    1.9629330045e+01    1.5994669629e+01    1.5994669629e+01    1.2400775434e+01
  49.2000000    1.5991340158e+01    1.5991340158e+01    1.9629223319e+01    1.5994556338e+01    1.5994556338e+01    1.2401087304e+01
  49.4000000    1.5991297838e+01    1.5991297838e+01    1.9629125789e+01    1.5994440756e+01    1.5994440756e+01    1.2401407906e+01
  49.6000000    1.5991252387e+01    1.5991252387e+01    1.9629035864e+01    1.5994323809e+01    1.5994323809e+01    1.2401734677e+01
