#       time         integral Re         integral Im         integral Re         integral Im
#       r =            16.000000           16.000000           32.000000           32.000000
  24.2000000   -7.8410262738e-05   -2.6179132050e-19   -1.9818612348e-03    1.6437594723e-20
  24.3000000   -1.0038463869e-04   -2.9546701955e-19   -2.0670303247e-03   -1.5090713327e-20
  24.4000000   -1.2375470342e-04   -2.7443241654e-19   -2.1392480165e-03    7.5080930117e-20
  24.5000000   -1.4817378694e-04   -2.8861838878e-19   -2.1962980449e-03   -2.2033848769e-20
  24.6000000   -1.7330151665e-04   -3.3098890579e-19   -2.2361295808e-03   -2.1411372726e-20
  24.7000000   -1.9880875472e-04   -3.0536205264e-19   -2.2569095364e-03   -6.6087620020e-20
  24.8000000   -2.2438136477e-04   -3.1315606138e-19   -2.2570949553e-03    2.9006089642e-20
  24.9000000   -2.4972281182e-04   -3.0309039511e-19   -2.2354870623e-03   -1.9105824751e-20
  25.0000000   -2.7455608424e-04   -3.4071233839e-19   -2.1912914601e-03    4.3349558909e-20
  25.1000000   -2.9862500111e-04   -2.6738706542e-19   -2.1241543217e-03   -5.5262355930e-20
  25.2000000   -3.2169509104e-04   -2.5556657586e-19   -2.0341822773e-03   -5.7724139703e-20
  25.3000000   -3.4355357623e-04   -2.6169320213e-19   -1.9219489023e-03   -4.4475294729e-20
  25.4000000   -3.6400943043e-04   -2.3268370058e-19   -1.7884982554e-03   -4.3772940080e-20
  25.5000000   -3.8289360745e-04   -1.9573709618e-19   -1.6353270693e-03    7.9393940249e-20
  25.6000000   -4.0005955512e-04   -2.2031653161e-19   -1.4643577841e-03   -4.2502593695e-20
  25.7000000   -4.1538410741e-04   -1.5819319472e-19   -1.2778956411e-03   -5.7430586687e-20
  25.8000000   -4.2876826678e-04   -1.4828525664e-19   -1.0785795053e-03    9.8511751788e-20
  25.9000000   -4.4013852063e-04   -1.3824975250e-19   -8.6932001694e-04   -8.9019004410e-21
  26.0000000   -4.4944831252e-04   -1.8239978666e-19   -6.5323030982e-04   -7.4724987833e-20
  26.1000000   -4.5667964240e-04   -1.2852369771e-19   -4.3355382432e-04   -2.0598081489e-20
  26.2000000   -4.6184429608e-04   -2.5363209143e-20   -2.1359019753e-04   -2.2116835486e-20
  26.3000000   -4.6498459483e-04   -5.8318971111e-20    3.3788437080e-06    2.7970252711e-20
  26.4000000   -4.6617362451e-04    2.6619896187e-20    2.1416172474e-04   -2.3188975483e-20
  26.5000000   -4.6551499576e-04   -9.0756634252e-21    4.1572951536e-04   -2.7469036227e-21
  26.6000000   -4.6314120163e-04    3.2720330434e-20    6.0527771691e-04   -2.7934673986e-20
  26.7000000   -4.5921101119e-04    4.9046571741e-20    7.8027947348e-04   -4.6553370685e-20
  26.8000000   -4.5390607627e-04    6.0087606549e-20    9.3852936146e-04   -2.3970728361e-21
  26.9000000   -4.4742585541e-04    9.0720414345e-20    1.0781959902e-03   -2.8943903278e-20
  27.0000000   -4.3998204839e-04    1.2566247845e-19    1.1978377893e-03   -1.1030342320e-19
  27.1000000   -4.3179224058e-04    1.5220830329e-19    1.2964268458e-03   -3.8577845269e-20
  27.2000000   -4.2307300165e-04    2.0079566899e-19    1.3733551969e-03   -9.4352165839e-20
  27.3000000   -4.1403282998e-04    2.2770466844e-19    1.4284077622e-03   -1.1018515639e-19
  27.4000000   -4.0486512454e-04    1.9377042606e-19    1.4617640621e-03   -7.4443482344e-20
  27.5000000   -3.9574188229e-04    2.1353001084e-19    1.4739798365e-03   -1.6604797035e-19
